Main Title,Person-A,# Person-A,Org-A,Loc-A,Person-N,# Person-N,Org-N,Loc-N,Gpe-N,Person-S,# Person-S,Org-S,Loc-S
"Children, some in bathing suits, possibly including Rebecca Tab in center, Vernon Vaughn in light colored top, and Sara Mae Allen in back, standing on Webster Avenue under spray from fire hose, near Webster Avenue firehouse at Wandless Street, Hill District", , , , ,"Rebecca Tab, Vernon Vaughn, Sara Mae Allen, Webster Avenue, Webster Avenue, Hill District",6,Wandless Street,,Children,"Rebecca Tab, Vernon Vaughn, Sara Mae Allen, Hill District",4,,"Webster Avenue, Webster Avenue, Wandless Street"
"Police officer Oliver Mason, badge no. 287, surrounded by children of Rideout family, including two girls holding looms, on front steps, Beltzhoover, another version", , , , ,Oliver Mason,1,,,,"Oliver Mason, Rideout",2,,
"New York Cubans baseball player with Homestead Grays baseball pitcher Ray Brown, at Forbes Field", , , , ,"Homestead Grays, Ray Brown",2,Forbes Field,,New York,Ray Brown,1,"New York, Homestead Grays",Forbes Field
"Group portrait of the Lady Evelyn Childress Organ Trio, including Clarence Oden on saxophone, Fred Pryor on drums, and Evelyn Childress on organ, posed in club with mirror in background", , , , ,"Clarence Oden, Fred Pryor, Evelyn Childress",3,Lady Evelyn Childress Organ Trio,,Group,"Clarence Oden, Fred Pryor, Evelyn Childress",3,Lady Evelyn Childress Organ Trio,
Nurses leading boxer Joe Louis and other men through corridor in Butler Veterans' Hospital, , , , ,Joe Louis,1,Hospital,,Butler,Joe Louis,1,,
"Duquesne University baseball team player no. 36 Dick Ricketts, in base running pose on field", , , , ,Duquesne,1,University,,,Dick Ricketts,1,Duquesne University,
"Pittsburgh Rens basketball players Jim McCoy, Walt Kennedy, and Hank Whitney surrounding Connie Hawkins lying in hospital bed after eye injury, Montefiore Hospital", , , , ,"Pittsburgh, Jim McCoy, Walt Kennedy, Hank Whitney, Connie Hawkins, Montefiore Hospital",6,Rens,,,"Jim McCoy, Walt Kennedy, Hank Whitney, Connie Hawkins",4,"Pittsburgh Rens, Montefiore Hospital",
"HIlda Laverne Logan modeling light colored short sleeved dress, walking down runway at Fashion Show Extravaganza in Sumpter Hall", , , , ,Laverne Logan,1,"HIlda, Fashion Show Extravaganza",,,HIlda Laverne Logan,1,,Sumpter Hall
"Wanda Jackson, Mrs. John Hicks, Elmer Taylor, and police officer John Hicks, standing in hallway", , , , ,"Wanda, Jackson, John Hicks, Elmer Taylor, John Hicks",5,,,,"Wanda Jackson, John Hicks, Elmer Taylor, John Hicks",4,,
"Demolition of Bethel AME Church with crane on left, Wylie Avenue and Elm Street, Hill District", , , , ,"Bethel AME Church, Wylie Avenue, Elm Street, Hill District",4,,,,Hill District,1,Bethel AME Church,"Wylie Avenue, Elm Street"
"Rev. J. A. Williams touching cornerstone of Baptist Temple Church with group of girls and boys, Frankstown Avenue at Collier Street, Homewood", , , , ,,0,,,,A. Williams,1,Baptist Temple Church,"Frankstown Avenue, Collier Street"
"Bishop Robert B. Appleyard, Rev. Henry B. William, and Bishop William S. Thomas, posed on altar in Trinity Episcopal Cathedral", , , , ,"Bishop, Robert B. Appleyard, Rev",3,,,,"Robert B. Appleyard, Henry B. William, Bishop William S. Thomas",3,,
Reverend Harold Tolliver reading from book on lectern in Grace Memorial Presbyterian Church, , , , ,"Reverend, Harold Tolliver",2,,,Grace,Harold Tolliver,1,,Grace Memorial Presbyterian Church
"Nedra Miller posing with her painting of John F. Kennedy with ribbon for second prize at 30th Allegheny County Fair, in her Beechview home with sunburst clock", , , , ,"Nedra, Miller, John F. Kennedy",3,Beechview,,,"Nedra Miller, John F. Kennedy",2,,
"Five girls in matching outfits followed by five boys in matching outfits marching in parade on Homewood Avenue at Finance Street intersection, for Black Arts Festival, Homewood", , , , ,"Homewood Avenue, Black Arts Festival, Homewood",3,,,,,0,,"Homewood Avenue, Finance Street"
"Group portrait of Senator John F. Kennedy, Jackie Kennedy with closed eyes, congressman Thomas E. Morgan, and District Attorney Michael A. Hanna, in interior", , , , ,"John F. Kennedy, Jackie Kennedy, Thomas E. Morgan, District Attorney Michael, Hanna",5,,,Group,"John F. Kennedy, Jackie Kennedy, Thomas E. Morgan, Michael A. Hanna",4,,
"Men and women protesting with signs reading ""Join the fight against segregation, join the fight for human rights,"" and ""Make Woolworth serve everyone everywhere"" outside Woolworth's, Smithfield Street and Sixth Avenue, Downtown", , , , ,"Make Woolworth, Woolworth, Smithfield Street, Sixth Avenue, Downtown",5,,,Men,,0,Woolworth,Smithfield Street
"Group portrait of Ninth Cavalry mounted troop, with two men in front, in park", , , , ,Ninth Cavalry,1,,,Group,,0,Ninth Cavalry,
"Fire fighters from Wilkins Township No.3, Dravosburg, and Forest Hills departments, help to fight house fire on Second St., Rankin", , , , ,"Wilkins Township, Rankin",2,Forest Hills,,"Fire, Dravosburg",Rankin,1,,"Wilkins Township No.3, Dravosburg, Forest Hills"
"Motorcycle police officers escorting motorcade out of shopping center parking lot for demonstration, Frankstown Avenue and Gerritt Street", , , , ,"Frankstown Avenue, Gerritt Street",2,,,Motorcycle,Gerritt Street,1,,Frankstown Avenue
"Boys holding up signs reading ""Give for the life of a child / March of Dimes,"" from left, front row: Tyler Thompson, Paul Sheard, Gary Gilmore, William Scott, and Gary Stevens; second row: Clifford Nicholson, James Bright, Ronald Peters, Howard Humphries, Calvin Humphries, Ronald Sheard, Robert Dawin, and Ernest Pollard; back row: Tyrone Scott and Jerry Tate, posed in interior, possibly Hill City", , , , ,"Tyler Thompson, Paul Sheard, Gary Gilmore, William Scott, Gary Stevens, Clifford Nicholson, James Bright, Ronald Peters, Howard Humphries, Calvin Humphries, Ronald Sheard, Robert Dawin, Ernest Pollard, Tyrone Scott, Jerry Tate, Hill City",16,,,Dimes,"Tyler Thompson, Paul Sheard, Gary Gilmore, William Scott, Gary Stevens, Clifford Nicholson, James Bright, Ronald Peters, Howard Humphries, Calvin Humphries, Ronald Sheard, Robert Dawin, Ernest Pollard, Tyrone Scott, Jerry Tate",15,,Hill City
"Marilyn Ware Parker modeling two piece satin bathing suit, reclining on chaise lounge in furniture department, for benefit fashion show in May - Stern furniture store", , , , ,Marilyn,1,Ware Parker,,"May, Stern",Marilyn Ware Parker,1,,
"Members of Chesterfield Girls, front row from left: Charlene Coles, Kathleen Holloway, Arnetta S. Green wearing monkey fur; back row: Ann Mays, Jeanette Paige, and Mary Palmer, posed in Herron Hill Park (Robert E. ""Pappy"" Williams Park), with Milwaukee Street in background, Hill District", , , , ,"Charlene Coles, Kathleen Holloway, Arnetta S. Green, Ann Mays, Jeanette Paige, Mary Palmer, Herron Hill Park, Robert E., Williams Park, Milwaukee Street, Hill District",11,,,Chesterfield Girls,"Charlene Coles, Kathleen Holloway, Arnetta S. Green, Ann Mays, Jeanette Paige, Mary Palmer, Robert E., Hill District",8,Chesterfield Girls,"Herron Hill Park, Milwaukee Street"
"Emily King, E. Bernice Coleman, Helen Delany, Sarah Moore, and Gladys Beverly, standing in front of painted stone backdrop, for Beauty Shop Owners' Fashion Review in Schenley High School", , , , ,"Helen Delany, Sarah Moore, Gladys Beverly, Beauty Shop Owners, Fashion Review",5,,,Schenley,"Emily King, E. Bernice Coleman, Helen Delany, Sarah Moore, Gladys Beverly",5,Beauty Shop Owners ' Fashion Review in Schenley High School,
"Men, including Ed Link and Dave Luck, gathered around Cadillac car with dead deer and two bears tied to hood, Wylie Avenue, Hill District", , , , ,"Ed Link, Dave Luck, Wylie Avenue, Hill District",4,,,"Men, Cadillac","Ed Link, Dave Luck, Hill District",3,Cadillac,Wylie Avenue
J. W. Hicks standing next to Chrysler in Syria Mosque for the 1958 Pittsburgh Courier Home Service Fair, , , , ,Chrysler,1,,,,J. W. Hicks,1,"Chrysler, Pittsburgh Courier Home Service Fair",Syria Mosque
"Boxer Ezzard Charles posed with children wearing ""Cheers for Charles"" sashes, including Ethel Holt, Jacqueline Holyfield, Chestina Mallory, Barbara Jackson, Ernestine Allen, Johnnie Allen, Donald Smith, and possibly Carl Redwood Jr. on left, in Ligonier High School gymnasium", , , , ,"Boxer, Ezzard Charles, Charles, Ethel Holt, Jacqueline Holyfield, Barbara Jackson, Ernestine Allen, Johnnie Allen, Donald Smith, Carl Redwood",10,,,"Chestina Mallory, Ligonier","Boxer Ezzard Charles, Ethel Holt, Jacqueline Holyfield, Chestina Mallory, Barbara Jackson, Ernestine Allen, Johnnie Allen, Donald Smith, Carl Redwood Jr.",9,Ligonier High School,
Large crowd of men and women seated on folding chairs in Syria Mosque for the 1959 Pittsburgh Courier Home Service Fair, , , , ,,0,,,Large,,0,Pittsburgh Courier Home Service Fair,Syria Mosque
Audience seated on folding chairs in Hunt Armory for the 1954 Pittsburgh Courier Home Service Fair, , , , ,,0,,,"Audience, Hunt",,0,Pittsburgh Courier Home Service Fair,
"Police officers loading body of murder victim George Howard into ambulance, near his apartment at 708 Junilla Street, Hill District", , , , ,"George Howard, Hill District",2,,,,"George Howard, Hill District",2,,Junilla Street
"Soldiers from 372nd Infantry standing with rifles at their sides, in formation on Kennard Field", , , , ,Kennard Field,1,,,,,0,372nd Infantry,Kennard Field
"Brick wall of Pittsburgh Railways Company Shops with graffiti reading ""Dirty White Folk,"" ""White Ass,"" and ""Poor White Hunky Bitch,"" Homewood and Frankstown Avenues, Homewood", , , , ,"Dirty, Poor, Frankstown Avenues, Homewood",4,Pittsburgh Railways Company Shops,,Brick,Homewood,1,Brick wall of Pittsburgh Railways Company Shops,
"Boxer ""Jersey"" Joe Walcott with baby on lap getting haircut from barber Clarence ""Speedy"" Williams in Crystal Barber Shop", , , , ,"Jersey, Joe Walcott, Williams",3,Crystal,,Boxer,"Boxer, Joe Walcott, Clarence, Williams",4,Crystal Barber Shop,
"Soldiers in parade formation marching on street at intersection of Centre Avenue, in front of Thomas DeLuxe Ice Cream Bar, Centre Builders' Supply, Fifth Ward Honor Roll, and A. Leo Weil School, for fourth of July celebration by Soho Community Association, Centre Avenue, Hill District", , , , ,"Thomas DeLuxe Ice Cream Bar, Centre Builders, Supply, Fifth Ward Honor Roll, Soho Community Association, Centre Avenue, Hill District",7,Centre Avenue,,,"A. Leo Weil, Hill District",2,"Thomas DeLuxe Ice Cream Bar, Fifth Ward Honor Roll, Soho Community Association","Centre Avenue, Centre Avenue"
"Soldiers from 372nd Infantry marching in parade, Fifth Avenue, Downtown", , , , ,"Fifth Avenue, Downtown",2,,,,,0,,Fifth Avenue
Stokely Carmichael (Kwame Ture) speaking in Ebenezer Baptist Church, , , , ,Kwame Ture,1,,,"Carmichael, Ebenezer","Stokely Carmichael, Kwame Ture",2,,Ebenezer Baptist Church
"Annual Elks parade, with Elks drill team from Cleveland marching in uniform and holding canes, in front of Northside Elks Lodge No. 124, Wylie Avenue, Hill District", , , , ,"Annual, Elks",2,Elks,,"Cleveland, Northside",Hill District,1,Elks,"Cleveland, Wylie Avenue"
"Winners of high school cake baking contest, from left: Peggy Daniels, Clara Tucciaione, Norma Lee, James Gay, Elaine Butler, and Betty Smith posed in front of Westinghouse home appliance display in Syria Mosque for the 1958 Pittsburgh Courier Home Service Fair", , , , ,"Peggy Daniels, Clara Tucciaione, Norma Lee, James Gay, Elaine Butler, Betty Smith",6,Westinghouse,,,"Peggy Daniels, Clara Tucciaione, Norma Lee, James Gay, Elaine Butler, Betty Smith",6,"Westinghouse, Pittsburgh Courier Home Service Fair",Syria Mosque
Centenarian David Wilson walking through curtains of voting booth, , , , ,David Wilson,1,,,Centenarian,David Wilson,1,,
"Group portrait, left to right: Otto Wendel, adviser; Albert Hamel, John Krug, Kay Crawford, Ruth Arnold, and Virginia Butler, operating machinery in Junior Achievement shop", , , , ,"Otto Wendel, Albert Hamel, John Krug, Kay Crawford, Ruth Arnold",5,Virginia Butler,,"Group, Junior","Otto Wendel, Albert Hamel, John Krug, Kay Crawford, Ruth Arnold, Virginia Butler",6,,
"Nat King Cole, Harold Keith, George Pitts, and Gulf Oil executive Roy Kohler, posed in Carlton House for Capitol Records press party", , , , ,"Nat, Harold Keith, George Pitts, Gulf Oil, Roy Kohler, Capitol Records",6,House,,Carlton,"Harold Keith, George Pitts, Roy Kohler",3,"Gulf Oil, Capitol Records",Carlton House
"Children, including Cub Scouts and Brownies, posing on grandstand with television personalities Lolo and Marty Wolfson, with sign for TV Safety Rangers, at WTAE studio", , , , ,"Cub Scouts, Lolo, Marty Wolfson, Safety Rangers",4,WTAE,,"Children, Brownies","Lolo, Marty Wolfson",2,WTAE,
"Horace Henderson and Lena Horne holding sheet music in Stanley Theatre, another version", , , , ,"Horace, Henderson, Lena Horne",3,,,,"Horace Henderson, Lena Horne",2,,
"Protesters, including man holding sign reading ""This Company is Unfair to the Negro Community, Baptist Ministers Conference,"" woman with sign ""The Company Practices Token Employment, UNPC,"" and Matthew Moore in background, near Horne's and Gimbels department stores, Sixth Avenue, Downtown", , , , ,"Unfair, Baptist Ministers Conference, Matthew Moore, Horne, Sixth Avenue, Downtown",6,"Negro Community, Company Practices Token Employment, UNPC, Gimbels",,,Matthew Moore,1,"Negro Community, UNPC","Horne, Gimbels"
"Car, driven by Robert Ziegler, with extensive front end damage and broken windshield, from accident with trailer truck, another version", , , , ,Robert Ziegler,1,,,Car,Robert Ziegler,1,,
"Mal Goode, and woman posing beside Dodge car, at 1959 Pittsburgh Courier Home Service Fair, Syria Mosque", , , , ,Mal,1,,,Goode,Mal Goode,1,"Dodge, Pittsburgh Courier Home Service Fair",Syria
"Boy standing along Batavia Street in muddy lot with parked cars with building with sign reading ""Bennett Dist. Co."" and Sunoco gas station in background", , , , ,"Batavia Street, Bennett Dist",2,,,,,0,Sunoco,Batavia Street
"Centre Avenue with Wash-A-Teria, and Chas. W. Lutz Choice Meats at 2145 Centre Avenue, at intersection of Elmore Street, with Crawford Grill no. 2 on Wylie Avenue, in background, Hill District", , , , ,"Centre, Chas",2,Avenue,,Wash-A-Teria,"Chas, W. Lutz, Crawford Grill, Hill District",4,,"Centre Avenue, Wash-A-Teria, Centre Avenue, Elmore Street, Wylie Avenue"
"Portrait of beauty shop owner Lillian Allen wearing suit with contrasting trim and mink fur stole, standing beside fence in front of Falk School", , , , ,"Lillian Allen, Falk School",2,,,Portrait,Lillian Allen,1,Falk School,
"Leona Worthington wearing evening dress with diamond patterned tunic and sheer skirt under fur coat, on stage with floral curtain, feathers, and hat boxes, for the Beauty Shop Owners' Fashion Review in Schenley High School", , , , ,"Leona, Fashion Review",2,"Worthington, Beauty Shop Owners",,Schenley,Leona Worthington,1,Beauty Shop Owners ' Fashion Review in Schenley High School,
"Two women, one seated in armchair, modeling day dresses, hats, and fur stole, on stage with floral curtain and potted hydrangeas, for the Beauty Shop Owners' Fashion Review in Schenley High School", , , , ,Fashion Review,1,Beauty Shop Owners,,Schenley,,0,Beauty Shop Owners ' Fashion Review in Schenley High School,
"State liquor store clerks Lillian Asaf and Charles Coleman behind counter, in state store with advertisement for March of Dimes, Sixth and Wylie Avenues", , , , ,"Lillian Asaf, Charles Coleman, Sixth, Wylie Avenues",4,,,Dimes,"Lillian Asaf, Charles Coleman, Wylie Avenues",3,,
"Lucille Welsch, Ethel W. Brooks, wearing polka dot dress, Theresa Fay, wearing eyeglasses, Marie M. Tompel, Irene Maroney, and Anna M. Foley, gathered in office with large ledgers, in Allegheny County Prothonotary office", , , , ,"Lucille, Ethel W. Brooks, Theresa Fay, Marie M. Tompel, Irene Maroney, Anna M. Foley",6,Welsch,,Allegheny,"Lucille Welsch, Ethel W. Brooks, Theresa Fay, Marie M. Tompel, Irene Maroney, Anna M. Foley",6,,Allegheny County Prothonotary
Man speaking at podium with Jesse Jackson beside him, , , , ,Jesse Jackson,1,,,,Jesse Jackson,1,,
"Nancy Lee wearing glasses on left, with Shirley Chisholm wearing floral dress and holding bouquet, standing with three women and minister, possibly in Loendi Club, for presidential campaign rally", , , , ,"Nancy, Lee, Shirley Chisholm",3,,,Loendi Club,"Nancy Lee, Shirley Chisholm",2,,Loendi Club
Display of three caskets and palm trees in viewing room at Gaines Funeral Home, , , , ,,0,Gaines Funeral Home,,Display,,0,,Gaines Funeral Home
"Dr. Merze Tate at microphone, behind banquet table including, from left: Rabbi Benjamin A. Lichter, Pittsburgh Mayor David L. Lawrence, Alma Illery, Evans W. Engram, and Rev. J. C. Hairston, for Carver Day Luncheon in ballroom of Penn Sheraton Hotel", , , , ,"Rabbi Benjamin, Lichter, Pittsburgh, David L. Lawrence, Alma Illery, Evans W. Engram",6,,,,"Merze Tate, Benjamin A. Lichter, David L. Lawrence, Alma Illery, Evans W. Engram, J. C. Hairston",6,Penn Sheraton Hotel,Pittsburgh
"Sequoias club members, from left: Frances Parr, Yvonne Hall, Betty Hord (Jones), Alma Rector, Imogene Perrin, Virginia Jackson, and Maxine Wright posed with hands on knees in front of Pittsburgh Courier newspaper billboard with image of soldier on stretcher", , , , ,"Parr, Yvonne Hall, Betty Hord, Jones, Alma Rector, Imogene Perrin, Virginia Jackson, Maxine Wright",8,Pittsburgh Courier,,Sequoias,"Frances Parr, Yvonne Hall, Betty Hord, Alma Rector, Imogene Perrin, Virginia Jackson, Maxine Wright",7,,Pittsburgh Courier
"Vice President Richard Milhous Nixon waving to crowd, with Hugh Scott standing on right, on stage in Syria Mosque for 1958 Republican campaign", , , , ,"Richard Milhous Nixon, Hugh Scott",2,Republican,,,"Richard Milhous Nixon, Hugh Scott",2,,Syria Mosque
"Julian Black, Mrs. Black, Blanche Morris, Eve Lynn Reynolds, and Mr. Reynolds, standing on pier for christening ceremony for SS Robert L. Vann, Portland, Maine", , , , ,"Black, Blanche Morris, Eve Lynn Reynolds, Mr. Reynolds, Robert L. Vann, Maine",6,SS,,"Julian, Portland","Julian Black, Black, Blanche Morris, Eve Lynn Reynolds, Reynolds, Robert L. Vann",6,,"Portland, Maine"
"Eddie Cooper and Wilhelmina handing out samples to women carrying basket style purses, behind Pepsi and Teem booth, at 1963 Pittsburgh Courier - WAMO, Home-A-Rama fair, Syria Mosque", , , , ,"Eddie, Pepsi, Teem",3,"Cooper, WAMO",,Wilhelmina,"Eddie Cooper, Wilhelmina, Home-A-Rama",3,Pepsi,"Pittsburgh Courier - WAMO, Syria"
"Two women and man behind rope of Philip Morris, Inc. booth, with Tip Top Bakers booth on right, at 1963 Pittsburgh Courier - WAMO, Home-A-Rama fair, Syria Mosque, another version", , , , ,"Philip Morris, Inc., Tip Top Bakers",3,WAMO,,,Home-A-Rama,1,"Philip Morris , Inc., Tip Top Bakers","Pittsburgh Courier - WAMO, Syria"
Herb Wright and Frances Nunn standing behind rope in Philip Morris booth in Syria Mosque for 1955 Pittsburgh Courier Home Service Fair, , , , ,"Herb, Frances Nunn",2,Wright,,Philip,"Herb Wright, Frances Nunn",2,Philip Morris,"Syria Mosque, Pittsburgh"
"Temple 22 Restaurant and Joe's Tavern, 800 block of Brushton Avenue lined with cars, Homewood", , , , ,"Joe, Brushton Avenue, Homewood",3,,,Tavern,"Joe, Homewood",2,,Brushton Avenue
Man and woman standing with 1960 Chevrolet Impala convertible in Don Allen Chevrolet Company booth in Syria Mosque for the 1960 Courier-WAMO Home-A-Rama, , , , ,,0,,,,,0,"Chevrolet Impala, Don Allen Chevrolet Company",Syria Mosque
"C.J. Evans Jr. standing in Foremost Dairy booth advertising peach ice cream, in Hunt Armory for the 1954 Pittsburgh Courier Home Service Fair", , , , ,,0,,,,"C.J, Evans Jr.",2,Pittsburgh Courier Home Service Fair,
